"X1" "X3" "X4" "X5" "X6" "X7" "X8" "X9"
"1493" "2015" "MONTANA" "30" "Beaverhead" "1" "30001" 76942 "010416"
"1494" "2015" "MONTANA" "30" "Big-Horn" "3" "30003" 2119006 "010416"
"1495" "2015" "MONTANA" "30" "Blaine" "5" "30005" 6571951 "010416"
"1496" "2015" "MONTANA" "30" "Broadwater" "7" "30007" 446426 "010416"
"1497" "2015" "MONTANA" "30" "Carbon" "9" "30009" 157168 "010416"
"1498" "2015" "MONTANA" "30" "Carter" "11" "30011" 489349 "010416"
"1499" "2015" "MONTANA" "30" "Cascade" "13" "30013" 1726125 "010416"
"1500" "2015" "MONTANA" "30" "Chouteau" "15" "30015" 9220914 "010416"
"1501" "2015" "MONTANA" "30" "Custer" "17" "30017" 1183743 "010416"
"1502" "2015" "MONTANA" "30" "Daniels" "19" "30019" 4899260 "010416"
"1503" "2015" "MONTANA" "30" "Dawson" "21" "30021" 639932 "010416"
"1504" "2015" "MONTANA" "30" "Deer-Lodge" "23" "30023" 0 "010416"
"1505" "2015" "MONTANA" "30" "Fallon" "25" "30025" 1398871 "010416"
"1506" "2015" "MONTANA" "30" "Fergus" "27" "30027" 839773 "010416"
"1507" "2015" "MONTANA" "30" "Flathead" "29" "30029" 352346 "010416"
"1508" "2015" "MONTANA" "30" "Gallatin" "31" "30031" 372470 "010416"
"1509" "2015" "MONTANA" "30" "Garfield" "33" "30033" 408228 "010416"
"1510" "2015" "MONTANA" "30" "Glacier" "35" "30035" 3868294 "010416"
"1511" "2015" "MONTANA" "30" "Golden-Valley" "37" "30037" 360928 "010416"
"1512" "2015" "MONTANA" "30" "Granite" "39" "30039" 0 "010416"
"1513" "2015" "MONTANA" "30" "Hill" "41" "30041" 29264836 "010416"
"1514" "2015" "MONTANA" "30" "Jefferson" "43" "30043" 266560 "010416"
"1515" "2015" "MONTANA" "30" "Judith-Basin" "45" "30045" 293059 "010416"
"1516" "2015" "MONTANA" "30" "Lake" "47" "30047" 420415 "010416"
"1517" "2015" "MONTANA" "30" "Lewis-and-Clark" "49" "30049" 343601 "010416"
"1518" "2015" "MONTANA" "30" "Liberty" "51" "30051" 11716702 "010416"
"1519" "2015" "MONTANA" "30" "Lincoln" "53" "30053" 31620 "010416"
"1520" "2015" "MONTANA" "30" "Madison" "57" "30057" 130406 "010416"
"1521" "2015" "MONTANA" "30" "McCone" "55" "30055" 1955793 "010416"
"1522" "2015" "MONTANA" "30" "Meagher" "59" "30059" 92335 "010416"
"1523" "2015" "MONTANA" "30" "Mineral" "61" "30061" 5571 "010416"
"1524" "2015" "MONTANA" "30" "Missoula" "63" "30063" 32233 "010416"
"1525" "2015" "MONTANA" "30" "Musselshell" "65" "30065" 320915 "010416"
"1526" "2015" "MONTANA" "30" "Park" "67" "30067" 60814 "010416"
"1527" "2015" "MONTANA" "30" "Petroleum" "69" "30069" 43193 "010416"
"1528" "2015" "MONTANA" "30" "Phillips" "71" "30071" 1651710 "010416"
"1529" "2015" "MONTANA" "30" "Pondera" "73" "30073" 3657873 "010416"
"1530" "2015" "MONTANA" "30" "Powder-River" "75" "30075" 775248 "010416"
"1531" "2015" "MONTANA" "30" "Powell" "77" "30077" 0 "010416"
"1532" "2015" "MONTANA" "30" "Prairie" "79" "30079" 612226 "010416"
"1533" "2015" "MONTANA" "30" "Ravalli" "81" "30081" 86674 "010416"
"1534" "2015" "MONTANA" "30" "Richland" "83" "30083" 1252260 "010416"
"1535" "2015" "MONTANA" "30" "Roosevelt" "85" "30085" 3013535 "010416"
"1536" "2015" "MONTANA" "30" "Rosebud" "87" "30087" 653652 "010416"
"1537" "2015" "MONTANA" "30" "Sanders" "89" "30089" 60515 "010416"
"1538" "2015" "MONTANA" "30" "Sheridan" "91" "30091" 2403833 "010416"
"1539" "2015" "MONTANA" "30" "Silver-Bow" "93" "30093" 0 "010416"
"1540" "2015" "MONTANA" "30" "Stillwater" "95" "30095" 317155 "010416"
"1541" "2015" "MONTANA" "30" "Sweet-Grass" "97" "30097" 71319 "010416"
"1542" "2015" "MONTANA" "30" "Teton" "99" "30099" 2381145 "010416"
"1543" "2015" "MONTANA" "30" "Toole" "101" "30101" 6841429 "010416"
"1544" "2015" "MONTANA" "30" "Treasure" "103" "30103" 141853 "010416"
"1545" "2015" "MONTANA" "30" "Valley" "105" "30105" 5993340 "010416"
"1546" "2015" "MONTANA" "30" "Wheatland" "107" "30107" 588568 "010416"
"1547" "2015" "MONTANA" "30" "Wibaux" "109" "30109" 245520 "010416"
"1548" "2015" "MONTANA" "30" "Yellowstone" "111" "30111" 1842792 "010416"
"18801" "2015" "MONTANA" "30" "Beaverhead" "1" "30001" 76942 "011916"
"18802" "2015" "MONTANA" "30" "Big-Horn" "3" "30003" 2145106 "011916"
"18803" "2015" "MONTANA" "30" "Blaine" "5" "30005" 6613806 "011916"
"18804" "2015" "MONTANA" "30" "Broadwater" "7" "30007" 446426 "011916"
"18805" "2015" "MONTANA" "30" "Carbon" "9" "30009" 157168 "011916"
"18806" "2015" "MONTANA" "30" "Carter" "11" "30011" 493953 "011916"
"18807" "2015" "MONTANA" "30" "Cascade" "13" "30013" 1765737 "011916"
"18808" "2015" "MONTANA" "30" "Chouteau" "15" "30015" 9511577 "011916"
"18809" "2015" "MONTANA" "30" "Custer" "17" "30017" 1183743 "011916"
"18810" "2015" "MONTANA" "30" "Daniels" "19" "30019" 5130037 "011916"
"18811" "2015" "MONTANA" "30" "Dawson" "21" "30021" 639932 "011916"
"18812" "2015" "MONTANA" "30" "Deer-Lodge" "23" "30023" 0 "011916"
"18813" "2015" "MONTANA" "30" "Fallon" "25" "30025" 1407269 "011916"
"18814" "2015" "MONTANA" "30" "Fergus" "27" "30027" 839781 "011916"
"18815" "2015" "MONTANA" "30" "Flathead" "29" "30029" 360743 "011916"
"18816" "2015" "MONTANA" "30" "Gallatin" "31" "30031" 372470 "011916"
"18817" "2015" "MONTANA" "30" "Garfield" "33" "30033" 408228 "011916"
"18818" "2015" "MONTANA" "30" "Glacier" "35" "30035" 3921643 "011916"
"18819" "2015" "MONTANA" "30" "Golden-Valley" "37" "30037" 360928 "011916"
"18820" "2015" "MONTANA" "30" "Granite" "39" "30039" 0 "011916"
"18821" "2015" "MONTANA" "30" "Hill" "41" "30041" 29406433 "011916"
"18822" "2015" "MONTANA" "30" "Jefferson" "43" "30043" 323447 "011916"
"18823" "2015" "MONTANA" "30" "Judith-Basin" "45" "30045" 293059 "011916"
"18824" "2015" "MONTANA" "30" "Lake" "47" "30047" 420415 "011916"
"18825" "2015" "MONTANA" "30" "Lewis-and-Clark" "49" "30049" 403608 "011916"
"18826" "2015" "MONTANA" "30" "Liberty" "51" "30051" 11742484 "011916"
"18827" "2015" "MONTANA" "30" "Lincoln" "53" "30053" 31620 "011916"
"18828" "2015" "MONTANA" "30" "Madison" "57" "30057" 130406 "011916"
"18829" "2015" "MONTANA" "30" "McCone" "55" "30055" 1958224 "011916"
"18830" "2015" "MONTANA" "30" "Meagher" "59" "30059" 93465 "011916"
"18831" "2015" "MONTANA" "30" "Mineral" "61" "30061" 5571 "011916"
"18832" "2015" "MONTANA" "30" "Missoula" "63" "30063" 32233 "011916"
"18833" "2015" "MONTANA" "30" "Musselshell" "65" "30065" 320915 "011916"
"18834" "2015" "MONTANA" "30" "Park" "67" "30067" 60814 "011916"
"18835" "2015" "MONTANA" "30" "Petroleum" "69" "30069" 43193 "011916"
"18836" "2015" "MONTANA" "30" "Phillips" "71" "30071" 1651710 "011916"
"18837" "2015" "MONTANA" "30" "Pondera" "73" "30073" 3674315 "011916"
"18838" "2015" "MONTANA" "30" "Powder-River" "75" "30075" 777737 "011916"
"18839" "2015" "MONTANA" "30" "Powell" "77" "30077" 0 "011916"
"18840" "2015" "MONTANA" "30" "Prairie" "79" "30079" 612226 "011916"
"18841" "2015" "MONTANA" "30" "Ravalli" "81" "30081" 86674 "011916"
"18842" "2015" "MONTANA" "30" "Richland" "83" "30083" 1252260 "011916"
"18843" "2015" "MONTANA" "30" "Roosevelt" "85" "30085" 3014427 "011916"
"18844" "2015" "MONTANA" "30" "Rosebud" "87" "30087" 653652 "011916"
"18845" "2015" "MONTANA" "30" "Sanders" "89" "30089" 60515 "011916"
"18846" "2015" "MONTANA" "30" "Sheridan" "91" "30091" 2631622 "011916"
"18847" "2015" "MONTANA" "30" "Silver-Bow" "93" "30093" 0 "011916"
